0000: ACCESSORIES_CONNECTED_BITMASK
0001: ACCESS_LEVEL
0003: ACCESS_LEVEL_TIMEOUT_DELAY_TIME
0004: ADDITIONAL_ALARM
0005: ADDITIONAL_ALARM_2
0006: ADDITIONAL_ALARM_3
0007: ADDITIONAL_ALARM_4
0008: ADDITIONAL_ALLOW
0009: ADDITIONAL_ALLOW_XDHW
000A: ADDITIONAL_BLOCKED
000B: ADDITIONAL_BLOCK_HIGH_T2
000C: ADDITIONAL_BLOCK_HIGH_T2_TEMP
000D: ADDITIONAL_BLOCK_HIGH_T2_TIME
000F: ADDITIONAL_BLOCK_TIME_CONTROL_TEMPERATURE_LIMIT
0010: ADDITIONAL_CONNECTED_COMPRESSOR_1
0011: ADDITIONAL_CONNECTED_COMPRESSOR_2
0012: ADDITIONAL_CONNECTED_COMPRESSOR_3
0013: ADDITIONAL_CONNECTED_COMPRESSOR_4
0014: ADDITIONAL_DELAY_TIME
0015: ADDITIONAL_DHW_ACKNOWLEDGED
0016: ADDITIONAL_DHW_HYSTERESIS
0017: ADDITIONAL_DHW_TEMP_CHANGE
0018: ADDITIONAL_EFFECT_LIMITATION_COMPRESSOR
001A: ADDITIONAL_EFFECT_LIMITATION_DHW
001C: ADDITIONAL_EFFECT_LIMITATION_NO_COMPRESSOR
001E: ADDITIONAL_ELECTRIC_COUNT
001F: ADDITIONAL_ELECTRIC_SIGNAL_1
0021: ADDITIONAL_ELECTRIC_SIGNAL_2
0023: ADDITIONAL_ELECTRIC_SIGNAL_3
0025: ADDITIONAL_ELECTRIC_SIGNAL_4
0027: ADDITIONAL_ELECTRIC_SIGNAL_OUT_1
0029: ADDITIONAL_ELECTRIC_SIGNAL_OUT_2
002B: ADDITIONAL_ELECTRIC_SIGNAL_OUT_3
002D: ADDITIONAL_ELECTRIC_SIGNAL_OUT_4
002F: ADDITIONAL_EL_NEUTRALZONE_LIMITATION
0030: ADDITIONAL_EL_NEUTRALZONE_LIMITATION_TIME
0032: ADDITIONAL_EL_NEUTRALZONE_RAMP_DOWN_TIME
0034: ADDITIONAL_EL_NEUTRALZONE_RAMP_UP_TIME
0036: ADDITIONAL_EL_NEUTRALZONE_SIZE
0037: ADDITIONAL_EXTERN_BLOCKED
0038: ADDITIONAL_EXTERN_BLOCK_BY_E21_EXT_1
0039: ADDITIONAL_EXTERN_BLOCK_BY_E21_EXT_2
003A: ADDITIONAL_EXTERN_BLOCK_BY_E22_EXT_1
003B: ADDITIONAL_EXTERN_BLOCK_BY_E22_EXT_2
003C: ADDITIONAL_GTf_AVERAGE
003E: ADDITIONAL_GTf_AVERAGE_OLD
0040: ADDITIONAL_LIMITATION_DEFROST_DELAY_TIME
0042: ADDITIONAL_LIMITATION_T1_MAX
0043: ADDITIONAL_LIMITATION_T1_START
0044: ADDITIONAL_LIMITATION_T8_MAX
0045: ADDITIONAL_LIMITATION_T8_START
0046: ADDITIONAL_NEUTRALZONE_DECREASE
0047: ADDITIONAL_NEUTRALZONE_INCREASE
0048: ADDITIONAL_NEUTRALZONE_SIGNAL
004A: ADDITIONAL_ONE_STEP_START
004C: ADDITIONAL_ONE_STEP_STOP
004E: ADDITIONAL_ONLY
004F: ADDITIONAL_ONLY_RAMP_TIME
0050: ADDITIONAL_ONLY_SIGNAL_RAMP_UP
0051: ADDITIONAL_PID_D
0053: ADDITIONAL_PID_I
0055: ADDITIONAL_PID_MAX
0057: ADDITIONAL_PID_MIN
0059: ADDITIONAL_PID_P
005B: ADDITIONAL_POOL_ALLOW
005C: ADDITIONAL_POOL_DELAY_TIME
005E: ADDITIONAL_POOL_MODE
005F: ADDITIONAL_POOL_RAMP_DOWN_TIME
0060: ADDITIONAL_POOL_RAMP_UP_TIME
0061: ADDITIONAL_PROGRAM_1_FRI
0063: ADDITIONAL_PROGRAM_1_MON
0065: ADDITIONAL_PROGRAM_1_SAT
0067: ADDITIONAL_PROGRAM_1_SUN
0069: ADDITIONAL_PROGRAM_1_THU
006B: ADDITIONAL_PROGRAM_1_TUE
006D: ADDITIONAL_PROGRAM_1_WED
006F: ADDITIONAL_RAMP_DECREASE
0070: ADDITIONAL_RAMP_INCREASE
0071: ADDITIONAL_RAMP_INCREASE_DHW
0072: ADDITIONAL_REQUEST
0073: ADDITIONAL_SIGNAL
0075: ADDITIONAL_SIGNAL_FASTKONDENSERING
0077: ADDITIONAL_SIGNAL_LIMITATION
0079: ADDITIONAL_SIGNAL_NORMAL
007B: ADDITIONAL_SIGNAL_ONLY
007D: ADDITIONAL_SIGNAL_PID
007F: ADDITIONAL_SIGNAL_POOL
0081: ADDITIONAL_TIMEPROGRAM
0082: ADDITIONAL_TIMER_EVU_ECONOMY_MODE
0083: ADDITIONAL_TIME_CONTROL_BLOCK
0084: ADDITIONAL_TOTAL_EFFECT_PATRON
0086: ADDITIONAL_USER_BLOCKED
0087: ADDITIONAL_USER_ONLY
0088: ADDITIONAL_USE_NEUTRALZONE_REGULATOR
0089: ADDITIONAL_VALVE_ALLOW
008A: ADDITIONAL_VALVE_CLOSE_TIME
008B: ADDITIONAL_VALVE_DELAY_TIME
008C: ADDITIONAL_VALVE_MEASUREMENT
008E: ADDITIONAL_VALVE_OPEN_TIME
008F: ADDITIONAL_VALVE_RUNNING_TIME
0091: ADDITIONAL_VALVE_SIGNAL
0093: AHB0016_BOOT_COUNT
0094: AHB0016_CONNECTED
0095: AHB0016_CONNECTED_2
0096: AHB0016_CONNECTED_3
0097: AHB0016_CONNECTED_4
0098: AHB0016_CONNECTED_BITMASK
0099: AHB0016_VERSION
009B: AHB0016_VERSION_2
009D: AHB0016_VERSION_3
009F: AHB0016_VERSION_4
00A1: AHB9012_CONNECTED
00A2: AHB9012_VERSION
00A4: ALARM_MODE_DELAY_TIME
00A6: ALARM_MODE_REQUEST
00A7: BIVALENCE_POINT
00A8: BUZZER_BLOCKED
00A9: BUZZER_BLOCK_START_TIME
00AB: BUZZER_BLOCK_STOP_TIME
00AD: BUZZER_DELAY_TIME
00AE: BUZZER_INTERVAL
00B0: CIRCULATION_E74_G1_DIGITAL
00B1: CIRCULATION_G2_ANALOG_SIGNAL
00B2: COMMUNICATION_BASECARD_E21_RESTART_DETECTED
00B3: COMMUNICATION_BASECARD_E22_RESTART_DETECTED
00B4: COMMUNICATION_FAILED_SENDINGS
00B5: COMPRESSORS_CONNECTED_COUNT
00B6: COMPRESSOR_ALARM
00B7: COMPRESSOR_ALARM_2
00B8: COMPRESSOR_BLOCKED
00B9: COMPRESSOR_BLOCKED_2
00BA: COMPRESSOR_CALC_HOTGAS
00BC: COMPRESSOR_CALC_HOTGAS_2
00BE: COMPRESSOR_CALC_HOTGAS_FILTERED
00C0: COMPRESSOR_CALC_HOTGAS_FILTERED_2
00C2: COMPRESSOR_COP_FREQUENCY_MAX
00C3: COMPRESSOR_COP_FREQUENCY_MIN
00C4: COMPRESSOR_COP_T1_SETPOINT_MAX
00C5: COMPRESSOR_COP_T1_SETPOINT_MIN
00C6: COMPRESSOR_DHW_REQUEST
00C7: COMPRESSOR_E21_EXTERN_BLOCKED
00C8: COMPRESSOR_E21_EXTERN_BLOCK_BY_E21_EXT_1
00C9: COMPRESSOR_E21_EXTERN_BLOCK_BY_E21_EXT_2
00CA: COMPRESSOR_E21_EXTERN_BLOCK_BY_E22_EXT_1
00CB: COMPRESSOR_E21_EXTERN_BLOCK_BY_E22_EXT_2
00CC: COMPRESSOR_E22_EXTERN_BLOCKED
00CD: COMPRESSOR_E22_EXTERN_BLOCK_BY_E21_EXT_1
00CE: COMPRESSOR_E22_EXTERN_BLOCK_BY_E21_EXT_2
00CF: COMPRESSOR_E22_EXTERN_BLOCK_BY_E22_EXT_1
00D0: COMPRESSOR_E22_EXTERN_BLOCK_BY_E22_EXT_2
00D1: COMPRESSOR_E22_RESTART_HANDLING_TRIGGED
